id,player_name,game_date,opponent_team,prop_type,hit,is_home,is_b2b,games_experience,minutes_bucket,closing_line,season_avg,last_10_avg,last_5_avg,std_dev,games_played,minutes_avg,days_rest,line_vs_season,line_vs_recent,form_trend,line_difficulty,actual_result,split,parsed_date
5825,Alperen Sengun,2/7/26,OKC,points,0,0,0,experienced,high,18.5,20.9,18.5,16.4,8.2,43,34.0,1,-2.3999999999999986,0.0,-2.1000000000000014,-0.29268292682926816,17,test,2026-02-07
5829,Alperen Sengun,2/7/26,OKC,pr,1,0,0,experienced,high,27.5,30.2,28.7,28.6,,43,34.0,1,-2.6999999999999993,-1.1999999999999993,-0.09999999999999787,,29,test,2026-02-07
5828,Alperen Sengun,2/7/26,OKC,pra,1,0,0,experienced,high,5.5,36.4,34.5,33.4,,43,34.0,1,-30.9,-29.0,-1.1000000000000014,,40,test,2026-02-07
5831,Alperen Sengun,2/7/26,OKC,ra,1,0,0,experienced,high,14.5,15.6,16.0,17.0,,43,34.0,1,-1.0999999999999996,-1.5,1.0,,23,test,2026-02-07
5826,Alperen Sengun,2/7/26,OKC,rebounds,1,0,0,experienced,high,9.5,9.4,10.2,12.2,3.6,43,34.0,1,0.09999999999999964,-0.6999999999999993,2.0,0.02777777777777768,12,test,2026-02-07
5834,Alperen Sengun,2/5/26,CHA,assists,0,1,1,experienced,starter,5.5,6.2,5.7,5.2,2.5,42,34.1,0,-0.7000000000000002,-0.20000000000000018,-0.5,-0.2800000000000001,5,test,2026-02-05
5837,Alperen Sengun,2/5/26,CHA,pa,0,1,1,experienced,starter,25.5,27.4,25.6,23.8,,42,34.1,0,-1.8999999999999986,-0.10000000000000142,-1.8000000000000007,,12,test,2026-02-05
5832,Alperen Sengun,2/5/26,CHA,points,0,1,1,experienced,starter,19.5,21.2,19.9,18.6,8.0,42,34.1,0,-1.6999999999999993,-0.3999999999999986,-1.2999999999999972,-0.2124999999999999,7,test,2026-02-05
5836,Alperen Sengun,2/5/26,CHA,pr,0,1,1,experienced,starter,28.5,30.6,30.0,31.0,,42,34.1,0,-2.1000000000000014,-1.5,1.0,,16,test,2026-02-05
5835,Alperen Sengun,2/5/26,CHA,pra,1,1,1,experienced,starter,5.5,36.8,35.7,36.2,,42,34.1,0,-31.299999999999997,-30.200000000000003,0.5,,21,test,2026-02-05
5838,Alperen Sengun,2/5/26,CHA,ra,0,1,1,experienced,starter,14.5,15.6,15.8,17.6,,42,34.1,0,-1.0999999999999996,-1.3000000000000007,1.8000000000000007,,14,test,2026-02-05
5833,Alperen Sengun,2/5/26,CHA,rebounds,1,1,1,experienced,starter,8.5,9.4,10.1,12.4,3.6,42,34.1,0,-0.9000000000000004,-1.5999999999999996,2.3000000000000007,-0.2500000000000001,9,test,2026-02-05
5841,Alperen Sengun,2/4/26,BOS,assists,0,1,0,experienced,starter,5.5,6.3,5.7,5.8,2.5,41,34.2,1,-0.7999999999999998,-0.20000000000000018,0.09999999999999964,-0.31999999999999995,3,test,2026-02-04
5844,Alperen Sengun,2/4/26,BOS,pa,0,1,0,experienced,starter,25.5,27.7,26.8,28.4,,41,34.2,1,-2.1999999999999993,-1.3000000000000007,1.5999999999999979,,16,test,2026-02-04
5839,Alperen Sengun,2/4/26,BOS,points,0,1,0,experienced,starter,19.5,21.4,21.1,22.6,8.0,41,34.2,1,-1.8999999999999986,-1.6000000000000014,1.5,-0.23749999999999982,13,test,2026-02-04
5843,Alperen Sengun,2/4/26,BOS,pr,0,1,0,experienced,starter,28.5,30.8,31.7,35.0,,41,34.2,1,-2.3000000000000007,-3.1999999999999993,3.3000000000000007,,22,test,2026-02-04
5842,Alperen Sengun,2/4/26,BOS,pra,1,1,0,experienced,starter,5.5,37.1,37.4,40.8,,41,34.2,1,-31.6,-31.9,3.3999999999999986,,25,test,2026-02-04
