id,player_name,game_date,opponent_team,prop_type,split,hit,actual_result,closing_line,is_home,season_avg,last_10_avg,last_5_avg,std_dev,games_played,minutes_avg,days_rest,is_b2b,line_vs_season,line_vs_recent,line_vs_last_5,line_difficulty,consistency,avg_vs_opponent,games_vs_opponent,opp_def_rating,opp_pace
6128,Alperen Sengun,2025-10-21,OKC,assists,train,1,7,5.5,0,,,,,0,,3,0,,,,0.0,,,0,106.5,99.5
6131,Alperen Sengun,2025-10-21,OKC,pa,train,1,46,24.5,0,,,,,0,,3,0,,,,0.0,,7.0,1,106.5,99.5
6126,Alperen Sengun,2025-10-21,OKC,points,train,1,39,17.5,0,,,,,0,,3,0,,,,0.0,,26.5,2,106.5,99.5
6130,Alperen Sengun,2025-10-21,OKC,pr,train,1,50,26.5,0,,,,,0,,3,0,,,,0.0,,30.666666666666668,3,106.5,99.5
6132,Alperen Sengun,2025-10-21,OKC,ra,train,1,18,15.5,0,,,,,0,,3,0,,,,0.0,,35.5,4,106.5,99.5
6127,Alperen Sengun,2025-10-21,OKC,rebounds,train,1,11,8.5,0,,,,,0,,3,0,,,,0.0,,32.0,5,106.5,99.5
6121,Alperen Sengun,2025-10-24,DET,assists,train,1,7,5.5,1,7.0,7.0,7.0,0.0,1,49.0,2,0,-1.5,-1.5,-1.5,0.0,7.0,7.0,0,115.5,100.8
6124,Alperen Sengun,2025-10-24,DET,pa,train,0,24,26.5,1,46.0,46.0,46.0,,1,49.0,2,0,-19.5,-19.5,-19.5,0.0,20.0,7.0,1,115.5,100.8
6119,Alperen Sengun,2025-10-24,DET,points,train,0,17,20.5,1,39.0,39.0,39.0,0.0,1,49.0,2,0,-18.5,-18.5,-18.5,0.0,20.0,15.5,2,115.5,100.8
6123,Alperen Sengun,2025-10-24,DET,pr,train,0,24,30.5,1,50.0,50.0,50.0,,1,49.0,2,0,-19.5,-19.5,-19.5,0.0,20.0,16.0,3,115.5,100.8
6125,Alperen Sengun,2025-10-24,DET,ra,train,0,14,14.5,1,18.0,18.0,18.0,,1,49.0,2,0,-3.5,-3.5,-3.5,0.0,18.0,18.0,4,115.5,100.8
6120,Alperen Sengun,2025-10-24,DET,rebounds,train,0,7,9.5,1,11.0,11.0,11.0,0.0,1,49.0,2,0,-1.5,-1.5,-1.5,0.0,11.0,17.2,5,115.5,100.8
6114,Alperen Sengun,2025-10-27,BKN,assists,train,0,6,6.5,1,7.0,7.0,7.0,0.0,2,43.5,2,0,-0.5,-0.5,-0.5,0.0,7.0,7.0,0,117.0,98.8
6117,Alperen Sengun,2025-10-27,BKN,pa,train,0,27,28.5,1,35.0,35.0,35.0,,2,43.5,2,0,-6.5,-6.5,-6.5,0.0,20.0,6.0,1,117.0,98.8
6112,Alperen Sengun,2025-10-27,BKN,points,train,0,21,21.5,1,28.0,28.0,28.0,15.6,2,43.5,2,0,-6.5,-6.5,-6.5,-0.4166666666666667,1.794871794871795,16.5,2,117.0,98.8
6116,Alperen Sengun,2025-10-27,BKN,pr,train,0,27,30.5,1,37.0,37.0,37.0,,2,43.5,2,0,-6.5,-6.5,-6.5,0.0,20.0,18.0,3,117.0,98.8
6118,Alperen Sengun,2025-10-27,BKN,ra,train,0,12,15.5,1,16.0,16.0,16.0,,2,43.5,2,0,-0.5,-0.5,-0.5,0.0,16.0,20.25,4,117.0,98.8
6113,Alperen Sengun,2025-10-27,BKN,rebounds,train,0,6,8.5,1,9.0,9.0,9.0,2.8,2,43.5,2,0,-0.5,-0.5,-0.5,-0.17857142857142858,3.2142857142857144,18.6,5,117.0,98.8
6107,Alperen Sengun,2025-10-29,TOR,assists,train,1,9,6.5,0,6.7,6.7,6.7,0.6,3,39.0,1,0,-0.20000000000000018,-0.20000000000000018,-0.20000000000000018,-0.33333333333333365,11.166666666666668,6.7,0,115.0,99.2
6110,Alperen Sengun,2025-10-29,TOR,pa,train,0,27,28.5,0,32.3,32.3,32.3,,3,39.0,1,0,-3.799999999999997,-3.799999999999997,-3.799999999999997,0.0,20.0,9.0,1,115.0,99.2
6105,Alperen Sengun,2025-10-29,TOR,points,train,0,18,21.5,0,25.7,25.7,25.7,11.7,3,39.0,1,0,-4.199999999999999,-4.199999999999999,-4.199999999999999,-0.3589743589743589,2.1965811965811968,18.0,2,115.0,99.2
6109,Alperen Sengun,2025-10-29,TOR,pr,train,0,26,31.5,0,33.7,33.7,33.7,,3,39.0,1,0,-2.200000000000003,-2.200000000000003,-2.200000000000003,0.0,20.0,18.0,3,115.0,99.2
6111,Alperen Sengun,2025-10-29,TOR,ra,train,1,17,15.5,0,14.7,14.7,14.7,,3,39.0,1,0,0.8000000000000007,0.8000000000000007,0.8000000000000007,0.0,14.7,20.0,4,115.0,99.2
6106,Alperen Sengun,2025-10-29,TOR,rebounds,train,0,8,8.5,0,8.0,8.0,8.0,2.6,3,39.0,1,0,0.5,0.5,0.5,0.1923076923076923,3.0769230769230766,19.4,5,115.0,99.2
6100,Alperen Sengun,2025-11-01,BOS,assists,train,1,9,6.5,0,7.3,7.3,7.3,1.3,4,38.0,2,0,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.6153846153846152,5.615384615384615,7.3,0,108.5,99.2
6103,Alperen Sengun,2025-11-01,BOS,pa,train,0,25,26.5,0,31.0,31.0,31.0,,4,38.0,2,0,-4.5,-4.5,-4.5,0.0,20.0,9.0,1,108.5,99.2
