iter	Passed	Remaining
150	1410	3259
151	1415	3240
152	1423	3229
153	1432	3218
154	1441	3209
155	1452	3203
156	1459	3188
157	1467	3176
158	1477	3169
159	1486	3159
160	1496	3150
161	1504	3139
162	1514	3131
163	1523	3121
164	1533	3112
165	1543	3104
166	1552	3094
167	1561	3085
168	1569	3074
169	1579	3065
170	1589	3058
171	1598	3048
172	1607	3037
173	1616	3027
174	1623	3015
175	1632	3004
176	1640	2994
177	1650	2985
178	1660	2976
179	1670	2969
180	1681	2963
181	1691	2955
182	1700	2945
183	1710	2936
184	1719	2928
185	1729	2920
186	1740	2912
187	1748	2901
188	1757	2891
189	1765	2881
190	1774	2870
191	1784	2861
192	1792	2851
193	1802	2843
194	1813	2835
195	1822	2826
196	1832	2818
197	1845	2814
198	1858	2810
199	1867	2800
200	1877	2792
201	1886	2782
202	1893	2770
203	1902	2760
204	1912	2751
205	1921	2742
206	1929	2731
207	1940	2723
208	1949	2713
209	1957	2703
210	1967	2694
211	1976	2684
212	1985	2675
213	1995	2666
214	2004	2656
215	2012	2645
216	2021	2635
217	2030	2626
218	2039	2616
219	2049	2607
220	2058	2598
221	2065	2585
222	2074	2576
223	2083	2566
224	2091	2556
225	2101	2547
226	2110	2538
227	2120	2529
228	2130	2521
229	2139	2511
230	2147	2500
231	2156	2491
232	2167	2483
233	2176	2473
234	2184	2463
235	2193	2453
236	2201	2443
237	2207	2430
238	2216	2420
239	2226	2412
240	2237	2404
241	2246	2394
242	2255	2385
243	2265	2376
244	2274	2367
245	2283	2357
246	2292	2348
247	2301	2338
248	2309	2328
249	2319	2319
250	2329	2311
251	2339	2302
252	2348	2292
253	2358	2283
254	2367	2274
255	2377	2265
256	2387	2257
257	2396	2247
258	2405	2238
259	2415	2230
260	2426	2221
261	2436	2213
262	2444	2202
263	2452	2192
264	2460	2181
265	2469	2172
266	2478	2162
267	2486	2152
268	2496	2143
269	2505	2134
270	2513	2124
271	2521	2113
272	2530	2103
273	2539	2094
274	2548	2084
275	2555	2074
276	2565	2065
277	2573	2055
278	2582	2045
279	2590	2035
280	2599	2026
281	2608	2016
282	2616	2006
283	2626	1997
284	2636	1988
285	2643	1978
286	2653	1969
287	2663	1960
288	2674	1952
289	2684	1944
290	2695	1935
291	2705	1927
292	2713	1917
293	2722	1907
294	2732	1899
295	2740	1888
296	2749	1879
297	2758	1870
298	2767	1860
299	2776	1850
300	2786	1842
301	2797	1833
302	2806	1824
303	2814	1814
304	2825	1806
305	2835	1797
306	2843	1787
307	2855	1779
308	2865	1771
309	2874	1761
310	2883	1752
311	2892	1742
312	2902	1734
313	2913	1725
314	2923	1716
315	2934	1708
316	2943	1699
317	2956	1691
318	2966	1683
319	2976	1674
320	2985	1664
321	2996	1656
322	3005	1647
323	3016	1638
324	3026	1629
325	3037	1621
326	3048	1613
327	3059	1604
328	3070	1595
329	3081	1587
330	3091	1578
331	3100	1568
332	3111	1560
333	3122	1552
334	3133	1543
335	3144	1534
336	3155	1526
337	3166	1517
338	3177	1509
339	3187	1499
340	3197	1490
341	3207	1482
342	3217	1472
343	3228	1464
344	3240	1455
345	3249	1446
346	3260	1437
347	3271	1429
348	3281	1419
349	3291	1410
350	3301	1401
351	3312	1392
352	3322	1383
353	3333	1374
354	3343	1365
355	3354	1356
356	3365	1348
357	3377	1339
358	3388	1330
359	3399	1322
360	3412	1313
361	3424	1305
362	3435	1296
363	3447	1288
364	3457	1278
365	3468	1270
366	3480	1261
367	3491	1252
368	3500	1242
369	3509	1232
370	3518	1223
371	3528	1214
372	3538	1204
373	3547	1195
374	3556	1185
375	3566	1176
376	3575	1166
377	3586	1157
378	3596	1148
379	3605	1138
380	3614	1128
381	3624	1119
382	3635	1110
383	3646	1101
384	3657	1092
385	3666	1082
386	3677	1073
387	3686	1064
388	3698	1055
389	3708	1046
390	3718	1036
391	3728	1027
392	3738	1017
393	3748	1008
394	3757	998
395	3767	989
396	3776	979
397	3786	970
398	3796	961
399	3806	951
400	3815	942
401	3825	932
402	3834	923
403	3845	913
404	3855	904
405	3864	894
406	3874	885
407	3884	876
408	3896	866
409	3906	857
410	3915	847
411	3926	838
412	3936	829
413	3946	819
414	3957	810
415	3968	801
416	3978	791
417	3989	782
418	4000	773
419	4010	763
420	4020	754
421	4032	745
422	4042	735
423	4051	726
424	4060	716
425	4070	707
426	4080	697
427	4090	688
428	4100	678
429	4110	669
430	4120	659
431	4130	650
432	4139	640
433	4150	631
434	4160	621
435	4170	612
436	4179	602
437	4189	592
438	4198	583
439	4208	573
440	4220	564
441	4230	555
442	4239	545
443	4249	535
444	4259	526
445	4268	516
446	4278	507
447	4288	497
448	4297	488
449	4307	478
450	4316	468
451	4326	459
452	4335	449
453	4345	440
454	4354	430
455	4365	421
456	4374	411
457	4384	402
458	4394	392
459	4404	383
460	4413	373
461	4424	363
462	4434	354
463	4444	344
464	4454	335
465	4464	325
466	4473	316
467	4483	306
468	4492	296
469	4502	287
470	4512	277
471	4521	268
472	4530	258
473	4540	249
474	4549	239
475	4560	229
476	4569	220
477	4578	210
478	4587	201
479	4595	191
480	4605	181
481	4614	172
482	4624	162
483	4635	153
484	4645	143
485	4654	134
486	4664	124
487	4673	114
488	4683	105
489	4691	95
490	4700	86
491	4709	76
492	4718	67
493	4727	57
494	4735	47
495	4743	38
496	4752	28
497	4761	19
498	4772	9
499	4780	0
