iter	Logloss
191	0.6683814088
192	0.6681769321
193	0.6681063196
194	0.6680504605
195	0.6677971246
196	0.6677289198
197	0.6676401657
198	0.6675749002
199	0.6675086803
200	0.6674375643
201	0.6673435935
202	0.6673285338
203	0.6671648071
204	0.6670645016
205	0.6669671989
206	0.6669017395
207	0.6666405352
208	0.6665447378
209	0.6664176843
210	0.6662295575
211	0.6661963655
212	0.6661311341
213	0.6660966866
214	0.6660334974
215	0.6659452681
216	0.665905346
217	0.6657995171
218	0.6657755303
219	0.6656609733
220	0.6655686577
221	0.665568336
222	0.6654770114
223	0.6653786206
224	0.6652728852
225	0.6651678688
226	0.6650465324
227	0.6649866855
228	0.664856289
229	0.6648161808
230	0.6647613685
231	0.6646150119
232	0.6645437358
233	0.6643294365
234	0.6642343919
235	0.6641117795
236	0.6640680244
237	0.6640609215
238	0.6638943939
239	0.6637929611
240	0.663751659
241	0.6636677524
242	0.6635247244
243	0.6634290416
244	0.6633458005
245	0.6632886819
246	0.6632083746
247	0.6631914459
248	0.6631262123
249	0.6630573836
250	0.6630274115
251	0.6629976631
252	0.6629236285
253	0.6628183534
254	0.6627555351
255	0.6625725975
256	0.6625121098
257	0.6623916685
258	0.6622691031
259	0.6620327484
260	0.6619467693
261	0.6618917101
262	0.6617884389
263	0.6617288629
264	0.661684249
265	0.6615954996
266	0.6613652748
267	0.6612455343
268	0.6611366639
269	0.661072878
270	0.6610339484
271	0.661006408
272	0.6609077787
273	0.6608135633
274	0.660732795
275	0.660695175
276	0.6606677095
277	0.6605397963
278	0.6603953029
279	0.6603448382
280	0.6602973059
281	0.6602380651
282	0.6601582002
283	0.6600801947
284	0.6599947769
285	0.6599435614
286	0.6598026209
287	0.6597773366
288	0.6596555661
289	0.6594814096
290	0.6594014519
291	0.6592725086
292	0.6592664328
293	0.6591987956
294	0.6591904024
295	0.6591262051
296	0.659073152
297	0.6589314433
298	0.6589051337
299	0.6588373589
300	0.6587809866
301	0.6586613766
302	0.6585572709
303	0.6584925343
304	0.6584082814
305	0.6583328416
306	0.6582419882
307	0.6581082618
308	0.6580681796
309	0.6578749746
310	0.6578008828
311	0.657684713
312	0.6575776419
313	0.6574685787
314	0.6573603513
315	0.6572746609
316	0.6572385526
317	0.6571791739
318	0.6570390648
319	0.6569826621
320	0.6567882947
321	0.6567273543
322	0.6566236535
323	0.6565573411
324	0.656460914
325	0.656368473
326	0.6562656633
327	0.6561689086
328	0.6560972608
329	0.6560617577
330	0.6560082126
331	0.6559716479
332	0.6558643171
333	0.6556908574
334	0.6556243733
335	0.655504781
336	0.6554488657
337	0.6553902005
338	0.6553141989
339	0.6552164359
340	0.6551067355
341	0.655026298
342	0.6549660339
343	0.6549084872
344	0.6548147808
345	0.6547303629
346	0.6546552844
347	0.6545631403
348	0.6544973456
349	0.6543869138
350	0.6541463523
351	0.654069923
352	0.654003621
353	0.6538829433
354	0.6538222339
355	0.653607745
356	0.6534964438
357	0.6533466259
358	0.653215524
359	0.653024697
360	0.6529038624
361	0.6528174517
362	0.6526359106
363	0.6524496899
364	0.6523706371
365	0.6522738129
366	0.6520612981
367	0.6519137035
368	0.6518135951
369	0.6516517201
370	0.6515618283
371	0.6513992891
372	0.6512925484
373	0.6512090981
374	0.6511089164
375	0.6508220516
376	0.6506266581
377	0.6505422094
378	0.6503373779
379	0.6503195371
380	0.6501167192
381	0.6500272385
382	0.6498998293
383	0.6497672536
384	0.6495892326
385	0.6495142114
386	0.6493182302
387	0.649244082
388	0.6492142394
389	0.6491531622
390	0.649072985
391	0.6489873487
392	0.6487698875
393	0.6487174367
394	0.6486209928
395	0.6484858322
396	0.6483139629
397	0.6482530287
398	0.6479765468
399	0.6479119057
400	0.6478207826
401	0.6477440059
402	0.6475737033
403	0.6473540085
404	0.647222242
405	0.647096037
406	0.6470023597
407	0.6468415588
408	0.646738564
409	0.6466385742
410	0.646563065
411	0.6464745553
412	0.6463718051
413	0.6462740556
414	0.6461738985
415	0.6460773081
416	0.6459427936
417	0.6457942972
418	0.6456865519
419	0.6456412938
420	0.6455259791
421	0.6453728279
422	0.6451465758
423	0.6449493681
424	0.6448815845
425	0.6447938571
426	0.6447004764
427	0.6445871824
428	0.6445576812
429	0.6443858584
430	0.6441764944
431	0.6440798867
432	0.6439938007
433	0.643885215
434	0.6437883802
435	0.6436005672
436	0.6435334821
437	0.6434303332
438	0.6433380478
439	0.6431600017
440	0.6431142848
441	0.6430683811
442	0.6430001022
443	0.6428997639
444	0.6428336663
445	0.6427122395
446	0.642653049
447	0.6425345127
448	0.6424003578
449	0.6422785854
450	0.6421230163
451	0.6420762036
452	0.6419046892
453	0.6418189878
454	0.6417104476
455	0.6416270219
456	0.6415691077
457	0.6415372687
458	0.641458752
459	0.6413653702
460	0.6412150894
461	0.6411252614
462	0.6409754019
463	0.6408775589
464	0.6407270524
465	0.6405345508
466	0.6403634069
467	0.6402957409
468	0.6401165523
469	0.6399619545
470	0.639897564
471	0.6398667329
472	0.6397540931
473	0.6396819597
474	0.6396291418
475	0.6395599766
476	0.639512907
477	0.6394466178
478	0.6392702168
479	0.6391688922
480	0.639109391
481	0.6390377443
482	0.6388762822
483	0.6387363976
484	0.6386150457
485	0.6385666891
486	0.6383529103
487	0.6383261756
488	0.6382684343
489	0.6381996898
490	0.6380936434
491	0.6379674408
492	0.6379088473
493	0.6377650713
494	0.6375884858
495	0.6375483212
496	0.637379999
497	0.6372878049
498	0.6371908167
499	0.6370280156
